No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,Inter + Inter,Sans-Serif,Inter,Inter,"Clean, modern, neutral, functional","SaaS, dashboards, productivity tools, developer tools",https://fonts.google.com/specimen/Inter,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap')","fontFamily: { sans: ['Inter', 'sans-serif'] }",Apple-inspired system font. Optimized for screens.
2,Geist + Geist,Sans-Serif,Geist,Geist Mono,"Developer, technical, minimal, modern","Developer tools, code editors, technical docs",https://fonts.google.com/specimen/Geist,"@import url('https://fonts.googleapis.com/css2?family=Geist:wght@400;500;600;700&display=swap')","fontFamily: { sans: ['Geist', 'sans-serif'] }",Vercel's typeface. Excellent for technical products.
3,Playfair Display + Lato,Serif + Sans,Playfair Display,Lato,"Elegant, luxury, sophisticated, editorial","Luxury brands, fashion, spa, editorial, high-end retail",https://fonts.google.com/specimen/Playfair+Display,"@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;600;700&family=Lato:wght@300;400;700&display=swap')","fontFamily: { heading: ['Playfair Display', 'serif'], sans: ['Lato', 'sans-serif'] }",Classic luxury contrast. Serif heading with clean body.
4,Space Grotesk + DM Sans,Sans-Serif,Space Grotesk,DM Sans,"Modern, tech, playful, geometric","SaaS, tech startups, AI products, modern apps",https://fonts.google.com/specimen/Space+Grotesk,"@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=DM+Sans:wght@400;500;700&display=swap')","fontFamily: { sans: ['DM Sans', 'sans-serif'], heading: ['Space Grotesk', 'sans-serif'] }",Popular modern tech pairing. Very contemporary.
5,Outfit + Outfit,Sans-Serif,Outfit,Outfit,"Friendly, modern, versatile, startup","Mobile apps, consumer products, startups, e-commerce",https://fonts.google.com/specimen/Outfit,"@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@300;400;500;600;700&display=swap')","fontFamily: { sans: ['Outfit', 'sans-serif'] }",Single font family approach. Geometric humanist.
6,Merriweather + Open Sans,Serif + Sans,Merriweather,Open Sans,"Editorial, readable, trustworthy, classic","Blogs, news, documentation, content-heavy sites",https://fonts.google.com/specimen/Merriweather,"@import url('https://fonts.googleapis.com/css2?family=Merriweather:wght@400;700&family=Open+Sans:wght@400;600;700&display=swap')","fontFamily: { heading: ['Merriweather', 'serif'], sans: ['Open Sans', 'sans-serif'] }",Classic editorial combination. High readability.
7,Syne + Manrope,Display + Sans,Syne,Manrope,"Bold, creative, expressive, design-forward","Creative agencies, portfolios, design studios, art",https://fonts.google.com/specimen/Syne,"@import url('https://fonts.googleapis.com/css2?family=Syne:wght@400;600;700;800&family=Manrope:wght@400;500;600;700&display=swap')","fontFamily: { heading: ['Syne', 'sans-serif'], sans: ['Manrope', 'sans-serif'] }",Strong creative identity. Geometric display font.
8,Plus Jakarta Sans + Plus Jakarta Sans,Sans-Serif,Plus Jakarta Sans,Plus Jakarta Sans,"Professional, modern, clean, versatile","Business, fintech, enterprise, B2B, corporate",https://fonts.google.com/specimen/Plus+Jakarta+Sans,"@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700;800&display=swap')","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",Excellent for professional products. Versatile weight range.
9,Raleway + Source Sans Pro,Sans-Serif,Raleway,Source Sans Pro,"Elegant, refined, modern, sophisticated","Portfolio, creative, fashion, lifestyle brands",https://fonts.google.com/specimen/Raleway,"@import url('https://fonts.googleapis.com/css2?family=Raleway:wght@400;600;700;800&family=Source+Sans+3:wght@400;600;700&display=swap')","fontFamily: { heading: ['Raleway', 'sans-serif'], sans: ['Source Sans 3', 'sans-serif'] }",Light elegant headings with highly readable body.
10,Roboto + Roboto,Sans-Serif,Roboto,Roboto,"Clean, neutral, material, functional","Android apps, Google ecosystem, material design, enterprise",https://fonts.google.com/specimen/Roboto,"@import url('https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&display=swap')","fontFamily: { sans: ['Roboto', 'sans-serif'] }",Google's flagship font. Universal readability.
